,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
44,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.docx,Distributor Agreement,"['Airspan Networks Incorporated', 'GLS LLC']",Airspan Networks Incorporated,GLS LLC,"March 31, 2000","March 31, 2000",,30 days,Yes,,"Either party may terminate this Agreement at any time during the term of this Agreement if either party fails materially to comply with any covenant, term, or provision of this Agreement, by written notice given to the other party not less than thirty (30) days prior to the effective date of such termination.",Yes,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.docx,Washington,Dakota
45,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.docx,AGENCY AGREEMENT,"['AFSALA Bancorp, Inc.', 'Amsterdam Federal Savings and Loan Association', 'Capital Resources, Inc.']","AFSALA Bancorp, Inc.",Amsterdam Federal Savings and Loan Association,"____________, 1996",,End Date,45 days,Yes,,"The agreement can be terminated if the company is unable to sell a minimum of 935,000 shares within the provided period, if the closing does not occur, if the conversion is terminated or abandoned, or if the terms of the conversion are substantially amended.",Yes,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.docx,Delaware,New York
46,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.docx,FRANCHISE AGREEMENT,"['Airsopure International Group, Inc.', 'You']",AIRSOPURE,You,2000,,,3 months,Yes,"$25,000.00","The agreement can be terminated due to insolvency, criminal conviction, judgment against you, transfer of rights without consent, disclosure of confidential information, failure to commence business, failure to attend training, threat to public safety, or multiple defaults.",Yes,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.docx,Texas,Null
47,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.docx,Amendment,"['AZUL LINHAS AÉREAS BRASILEIRAS S/A', 'AVIONS DE TRANSPORT \xa0REGIONAL ,\xa0G.I.E.']",AZUL,ATR,"January 6th, 2016","January 6th, 2016",,,Yes,,The contract does not specify the conditions for termination.,Yes,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.docx,Brazil,France
48,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.docx,STRATEGIC ALLIANCE AGREEMENT,"['AURA SYSTEMS INC.', 'ZANOTTI EAST INC.']",AURA SYSTEMS INC.,ZANOTTI EAST INC.,"March 18, 2010","March 18, 2010",,ninety (90) days,Yes,,"This Agreement may be terminated upon the occurrence of events such as transfer of assets, dissolution, bankruptcy, insolvency, assignment for benefit of creditors, material change in ownership or operations, failure to meet minimum purchase requirements, force majeure events, written notice by either party, or default in material obligations or misrepresentation.",Yes,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.docx,Delaware,Massachusetts
49,BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.docx,AGENCY AGREEMENT,"['El Banco Financial Corporation', 'the sales agent']",El Banco Financial Corporation,the sales agent,", 2006",,"June 30, 2007",,No,,"In the event the Company is unable to sell a minimum of 1,875,000 Shares on or before June 30, 2007, this Agreement shall terminate and the Company shall cause the Escrow Agent (as defined below) to refund to any persons who have subscribed for any of the Shares the full amount it received from them, without interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 8, 10, and 11.",No,BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.docx,Georgia,Null
50,BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.docx,ENDORSEMENT AGREEMENT,"['GENO AURIEMMA', 'BERKSHIRE BANK']",GENO AURIEMMA,BERKSHIRE BANK,"May 31, 2016",,"May 31, 2014",thirty (30) days,Yes,"Four Hundred Eighty Thousand and 00/100 Dollars ($480,000.00)",Either Party shall have the right to terminate this Agreement if the other Party materially breaches its obligation hereunder and such breach remains uncured.,Yes,BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.docx,Connecticut,Massachusetts
51,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.docx",MASTER SUPPLY AGREEMENT,"['Premier Nutrition Company, LLC', 'Fonterra (USA) Inc.']","Premier Nutrition Company, LLC",Fonterra (USA) Inc.,31 October 2019,31 October 2019,,12 months,Yes,,Either Party may terminate this Agreement for cause if the other Party fails to perform any material provision of this Agreement or commits a material breach of this Agreement which is not corrected within [***] after receiving written notice of the failure or breach.,Yes,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.docx",Emeryville,Chicago
52,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.docx,MANUFACTURING AGREEMENT,"['Stremicks Heritage Foods, LLC', 'PREMIER NUTRITION CORPORATION']","Stremicks Heritage Foods, LLC",PREMIER NUTRITION CORPORATION,"July 1, 2017","July 1, 2017","December 31, 2022",[***],Yes,[***],"Either Party may terminate this Agreement immediately without notice should the other Party fail to cure, within [***] after receipt of written notice thereof, any material breach of its obligations or duties hereunder",Yes,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.docx,California,California
53,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).docx,DEVELOPMENT AGREEMENT,"['Cargill, Incorporated', 'Bioamber S.A.S.']",Cargill,Bioamber,"April 15, 2010","April 15, 2010",,,Yes,"Two Hundred Fifty Thousand U.S. Dollars ($250,000.00)","Either Party may terminate this Development Agreement by giving written notice to the other Party, (a)in the event the other Party’s bankruptcy, insolvency, or the filing of a petition therefore; and (b) the other Party materially defaults in the performance of its obligations hereunder.",Yes,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).docx,Minnesota,France
54,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.docx,AGENCY AGREEMENT,"['Biopure Corporation', 'The Butler Company']",Biopure Corporation,The Butler Company,"March 29, 1999","March 29, 1999",,ninety (90) days,Yes,,"This Agreement may be terminated by either party if either party fails in any material respect to observe or perform any of its obligations under this Agreement, which failure is not remedied within thirty (30) days, after receipt of written notice from the other party specifying such failure.",Yes,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.docx,Delaware,Null
55,BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.docx,CELEBRITY ENDORSEMENT AGREEMENT,"['Bizzingo, Inc.', 'Joseph Theismann']",Bizzingo,Theismann,"March 14, 2012","March 1, 2012","March 1, 2013",30 days,Yes,Royalty,"The contract can be terminated by either party with a 30-day written notice upon breach of contract, failure to cure the breach within the 30-day period, or upon occurrence of specific events outlined in the agreement.",Yes,BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.docx,Nevada,Virginia
56,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.docx,LICENSING AND WEB SITE HOSTING AGREEMENT,"['Mortgage Logic.com, Inc.', 'TrueLink, Inc.']","Mortgage Logic.com, Inc.","TrueLink, Inc.","February 26, 1999","February 26, 1999",,thirty (30) days,Yes,"$____ per month for the
Hosting Services and $____ per month for Support Services","This Agreement will take effect on
the Effective Date and remain in effect for a period of 1 year; provided, that
Sections 2 and 3 level shall terminate promptly upon (a) any action or omission
by Client or any of its customers which constitutes a breach of or default by
TrueLink under any System Agreement or Credit Repository Agreement, which breach
or default has either not been cured or cannot be cured within the applicable
cure period and the consequences of which is that TrueLink will lose material
rights it had pursuant to said Agreements or (b) any violations or breach by
Client of Sections 8a - 8c.",Yes,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.docx,California,California
57,BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.docx,OUTSOURCING AGREEMENT,"['VIRTUAL ITEM PROCESSING SYSTEMS, INC.', 'BROKERS NATIONAL LIFE ASSURANCE COMPANY']","VIRTUAL ITEM PROCESSING SYSTEMS, INC.",BROKERS NATIONAL LIFE ASSURANCE COMPANY,"May 1, 2006","May 1, 2006",,6 months,Yes,"$5,000","This Agreement may be terminated by the non-breaching party upon any of the following events such as failure to pay, breach of contract, insolvency or bankruptcy.",Yes,BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.docx,Oklahoma,Texas
58,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.docx",JOINT VENTURE AGREEMENT,"['BorrowMoney.com, inc', 'JVLS, LLC dba Vaccines 2Go']","BorrowMoney.com, inc","JVLS, LLC dba Vaccines 2Go","March 20, 2020","March 1, 2020","February 28, 2025",,Yes,,The Venture will be dissolved and its assets liquidated in the event of any of the following: the Term expires and is not extended; a unanimous vote by the Members to dissolve the Venture; on satisfaction of the Purpose; loss or incapacity through any means of substantially all of the Venture’s assets; or where only one Member remains.,Yes,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.docx",Florida,GA
59,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.docx,WEB SITE HOSTING AGREEMENT,"['Centrack International, a Florida corporation', 'i-on interactive, a Florida corporation']",Centrack International,i-on interactive,"6th day of April, 1999","April 1, 1999",,fifteen (15) days,,$450,Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.,,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.docx,Florida,Florida
60,"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.docx",COLLABORATION AGREEMENT,"['CAPSUGEL', 'CARDAX']",CAPSUGEL,CARDAX,August 18th 2014,August 18th 2014,[***],[***],Yes,[***],"A material breach that is subject to cure that is not cured within [***] of written notice of breach shall be cause for termination, provided that if the breaching party is diligently pursuing in good faith the remedy of the breach at the expiration of such [***] cure period, then such [***] cure period shall be extended for a reasonable period to effect the cure.",Yes,"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.docx",NJ,HI
61,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.docx,Strategic Alliance Agreement,"['Freedom Mortgage Corporation', 'Cherry Hill Mortgage Investment Corp.']",Freedom Mortgage Corporation,Cherry Hill Mortgage Investment Corp.,2013,,,30 days,Yes,,"In the event that a party materially breaches any representation or covenant, the other party may give written notice of the breach requiring the same to be remedied within 30 days of receipt of such notice, and if the breaching party fails to remedy the material breach in such time period, the non-breaching party may terminate this Agreement by delivery of a written termination notice to the breaching party.",Yes,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.docx,New Jersey,Maryland
62,CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.docx,SERVICES OUTSOURCING AGREEMENT,"['CCA\xa0INDUSTRIES,\xa0INC.', 'EMERSON\xa0HEALTHCARE,\xa0LLC']","CCA INDUSTRIES, INC.","EMERSON HEALTHCARE, LLC","January 20, 2014","January 20, 2014",,six (6) months,Yes,[ ** ] percent ([ *∗ ]%) of Company’s Gross Invoiced Sales,"This Agreement shall be terminable for material breach of any of the terms or conditions of this Agreement, failure to pay any amounts payable hereunder when due, Force Majeure Event, or by either party after the Initial Period upon at least six (6) months’ prior written notice to the other party.",Yes,CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.docx,Null,Pennsylvania
63,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.docx,Agreement,"['Beijing SINA Internet Information Service Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.']",Licensor,Licensee,,Closing Date as set forth in the Share Purchase Agreement,,twelve (12) months,Yes,,"Either Party may immediately terminate this Agreement in the event that the other Party (a) becomes insolvent or unable to pay its debts as they mature; (b) makes an assignment for the benefit of its creditors; (c) seeks relief, or if proceedings are commenced against such other Party or on its behalf, under any bankruptcy, insolvency or debtors ’ relief law and such proceedings have not been vacated or set aside within seven (7) days from the date of commencement thereof.",Yes,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.docx,China,China
64,CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.docx,Cooperation Agreement,"['Beike Internet (Beijing) Security Technology Co., Ltd.', 'Baidu Online Network Technology (Beijing) Co., Ltd.']","Beike Internet (Beijing) Security Technology Co., Ltd.","Baidu Online Network Technology (Beijing) Co., Ltd.",April 2013,"May 1, 2013","April 30, 2015",one month,Yes,RMB 100,The agreement will be terminated upon the expiry of the Cooperation Term if the parties fail to negotiate the cooperation forms.,Yes,CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.docx,Beijing,Beijing
65,CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.docx,TRANSPORTATION CONTRACT,"['JSC NOC KazakhOil', 'JSC Karakudukmunay']",JSC NOC KazakhOil,JSC Karakudukmunay,"January 31, 2000",,,65 days,Yes,$1.00 (one dollar),"The contract can be terminated if either party fails to perform their obligations within 30 days of notice from the other party, or if performance of obligations is delayed for 3 months due to force majeure.",Yes,CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.docx,Astana,Aktau
66,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.docx,INTELLECTUAL PROPERTY AGREEMENT,"['Nuance Communications, Inc.', 'Cerence Inc.']","Nuance Communications, Inc.",Cerence Inc.,"September 30, 2019","September 30, 2019",,,Yes,,The agreement may not be terminated except by an agreement in writing signed by a duly authorized officer of each of the Parties.,Yes,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.docx,Null,Null
67,"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.docx",INTELLECTUAL PROPERTY AGREEMENT,"['Armstrong Flooring, Inc.', 'AFI Licensing LLC', 'AHF Holding, Inc.', 'Armstrong Hardwood Flooring Company']","Armstrong Flooring, Inc.","AHF Holding, Inc.","December 31, 2018","December 31, 2018",,thirty (30) days,Yes,,Either Party may terminate this Agreement if the other Party materially breaches this Agreement and fails to remedy such breach within thirty (30) days’ written notice thereof,Yes,"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.docx",Delaware,Tennessee
68,"Antares Pharma, Inc. - Manufacturing Agreement.docx",Agreement,"['Antares Pharma, Inc.', 'AMAG Pharmaceuticals, Inc.']",Antares,AMAG,"20th day of March, 2018",Effective Date,,[***],Yes,[***],"This Agreement may be terminated in its entirety by AMAG, upon AMAG’s prior written notice to Antares if Antares commits a material breach of this Agreement and such material breach remains uncured for [***] following written notice of breach by Antares.",Yes,"Antares Pharma, Inc. - Manufacturing Agreement.docx",NJ,MA
